pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.81	43505	24274504	557.97
9.60	7.52	44035	24741266	561.85
9.30	7.23	44483	25148876	565.36
9.00	6.93	45078	25671191	569.48
8.70	6.64	45476	26068160	573.23
8.40	6.35	46193	26713754	578.31
8.10	6.06	46584	27122294	582.22
7.80	5.77	47245	27724825	586.83
7.50	5.47	47817	28279046	591.40
7.20	5.19	48552	29001479	597.33
6.90	4.89	49183	29590345	601.64
6.60	4.60	50007	30373767	607.39
6.30	4.31	50721	31060126	612.37
6.00	4.03	51643	31945404	618.58
5.70	3.74	52516	32804817	624.66
5.40	3.45	53532	33809415	631.57
5.10	3.16	54305	34651110	638.08
4.80	2.88	55686	36003541	646.55
4.50	2.59	57016	37322828	654.60
4.20	2.31	58248	38644732	663.45
3.90	2.02	59942	40329411	672.81
3.60	1.74	61286	41763686	681.46
3.30	1.46	63604	44072019	692.91
3.00	1.18	65356	45878554	701.98
2.70	0.92	68682	48985523	713.22
2.40	0.65	72510	52504468	724.10
2.10	0.39	76449	56020160	732.78
1.80	0.15	83833	61605133	734.86
1.50	0.00	98402	70699968	718.48
1.20	0.00	132536	87517559	660.33
0.90	0.00	195206	115274487	590.53
0.60	0.00	506132	241090325	476.34
0.30	0.00	1199382	570553863	475.71
