pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.62	25517	16271139	637.66
9.60	7.33	26112	16787647	642.91
9.30	7.04	26378	17038535	645.94
9.00	6.75	26966	17542275	650.53
8.70	6.47	28133	18573868	660.22
8.40	6.18	28620	19016440	664.45
8.10	5.90	29351	19746271	672.76
7.80	5.61	29894	20252157	677.47
7.50	5.33	31184	21375167	685.45
7.20	5.04	31941	22085875	691.46
6.90	4.76	32757	22950247	700.62
6.60	4.47	33517	23672819	706.29
6.30	4.19	34960	25000285	715.11
6.00	3.92	36457	26543756	728.08
5.70	3.63	37201	27271350	733.08
5.40	3.34	38118	28192502	739.61
5.10	3.09	41331	31289063	757.04
4.80	2.80	42370	32283800	761.95
4.50	2.52	43832	33757350	770.15
4.20	2.27	47762	37606169	787.37
3.90	1.99	49879	39683715	795.60
3.60	1.71	52021	41845207	804.39
3.30	1.44	54519	44626885	818.56
3.00	1.21	61684	51468413	834.39
2.70	0.95	66451	56300990	847.26
2.40	0.67	69241	59306814	856.53
2.10	0.48	88784	73635837	829.38
1.80	0.26	103331	85971269	832.00
1.50	0.03	169610	122048738	719.58
1.20	0.00	242463	166127641	685.17
0.90	0.00	319109	213369770	668.64
0.60	0.00	978415	636941276	650.99
0.30	0.00	1022791	1916564528	1873.86
