"","sample","ProportionOverlap","TotalPeakCoverage","UniqueBase","TotalPeaks","PercentageOverlapPeaks"
"1","CNR",0.645028830580292,58710230,11308652,105373,67.2866863428013
"2","CHIP",0.465862010566478,81289717,23221054,122086,58.0754550071261
