"","sample","ProportionOverlap","TotalPeakCoverage","UniqueBase","TotalPeaks","PercentageOverlapPeaks"
"1","CNR",0.542210553307694,64202487,15215241,73979,68.3788642722935
"2","CHIP",0.609249143752559,57137981,11961482,77701,65.1034092225325
